,amenities,bathrooms,bedrooms,fee,price,square_feet,cityname,state,time,state_num,city_num
0,None,1.0,0.0,No,0.011281070745697896,0.0,Washington,DC,2019-12-26 11:23:35,10,13
1,None,1.0,1.0,No,0.004302103250478011,0.0001253164239705256,Evansville,IN,2019-12-22 12:17:43,1,1
2,None,1.0,0.0,No,0.022753346080305926,0.0001503797087646307,Arlington,VA,2019-12-26 11:23:30,2,2
3,None,1.0,0.0,No,0.013862332695984704,0.00037594927191157674,Seattle,WA,2019-12-18 11:15:43,3,3
4,None,1.0,0.0,No,0.0130019120458891,0.0006015188350585228,Arlington,VA,2019-12-26 11:23:21,2,2
5,"['Dishwasher', 'Elevator', 'Patio/Deck', 'Pool', 'Storage']",1.0,0.0,No,0.04349904397705545,0.0007268352590290483,Manhattan,NY,2019-12-25 16:03:04,4,4
6,None,1.0,0.0,No,0.030592734225621414,0.0007769618286172585,Venice,CA,2019-12-26 11:24:21,5,5
7,None,1.0,0.0,No,0.012237093690248566,0.000877214967793679,Washington,DC,2019-12-26 11:23:13,10,13
8,['Refrigerator'],1.0,0.0,No,0.024760994263862333,0.0009273415373818892,San Francisco,CA,2019-12-26 11:05:13,5,6
9,None,1.0,0.0,No,0.013193116634799235,0.0010025313917642047,Washington,DC,2019-12-26 11:23:44,10,13
10,None,1.0,0.0,No,0.015105162523900574,0.0011278478157347302,Washington,DC,2019-12-26 11:23:50,10,13
11,None,1.0,0.0,No,0.012237093690248566,0.0012281009549111506,Washington,DC,2019-12-26 11:23:01,10,13
12,None,1.0,1.0,No,0.03049713193116635,0.0013784806636757813,Tucson,AZ,2019-12-22 12:19:08,6,7
13,None,1.0,0.0,No,0.017017208413001913,0.0019298729291460938,Washington,DC,2019-12-26 11:23:35,10,13
14,['Refrigerator'],1.0,0.0,No,0.02858508604206501,0.0022306323466753553,San Francisco,CA,2019-12-22 11:45:21,5,6
15,"['AC', 'Basketball', 'Cable or Satellite', 'Gym', 'Internet Access', 'Patio/Deck', 'Pool', 'Refrigerator']",1.0,1.0,No,0.12587407812073206,0.0024812651946164066,New Bern,NC,2019-12-17 21:27:56,7,8
18,None,1.0,1.0,No,0.014340344168260038,0.0024812651946164066,Vallejo,CA,2019-12-26 11:31:58,5,9
19,['Pool'],1.0,1.0,No,0.008126195028680689,0.0024812651946164066,Marietta,GA,2019-12-26 11:20:24,8,10
